id_propiedad,matricula_inmobiliaria,id_municipio,direccion_propiedad,tipo_propiedad,disponibilidad_propiedad,area_m2,habitaciones,bano,parqueadero,estrato,valor_administracion,canon_arrendamiento_estimado,valor_venta_propiedad,comision_venta_propiedad,observaciones_propiedad,fecha_ingreso_propiedad,estado_registro,motivo_inactivacion,created_at,created_by,updated_at,updated_by,codigo_energia,codigo_agua,codigo_gas,telefono_administracion,tipo_cuenta_administracion,numero_cuenta_administracion,fecha_pago_administracion,link_pago_administracion,cuota_extra_ordinaria,observaciones_admin_ph
100014,280-248506,100000,"CL 58 CR 48-39 TO 15 AP 201, CJT CER ZAZACUARI",Apartamento,False,45.0,2,1,,3,111000,751000,,,,2026-02-17,True,,2026-02-17T00:20:23.734436,admin,2026-05-20T13:21:57.256456,admin,336380,157429,1303799,3103240473,Ahorros,,14,https://web-conjuntos.jelpit.com/pagar-mi-administracion#/?utm_source=jelpit&utm_medium=header&utm_campaign=boton_flotantehttps://web-conjuntos.jelpit.com/pagar-mi-administracion#/?utm_source=jelpit&utm_medium=header&utm_campaign=boton_flotantehttps://web-conjuntos.jelpit.com/pagar-mi-administracion#/?utm_source=jelpit&utm_medium=header&utm_campaign=boton_flotante,,"correo: ADMONZAZACUARI@GMAIL.COM | 
Cuota de administración PRONTO PAGO:
$111.000 si cancela ANTES del 14 de cada mes.  
$121.000 si cancela DESPUES del 15 de cada mes  
Referencia de pago:
dirección: ZAZACUARI CONJUNTO CERRADO PH , CL 58 # 48 39 - Armenia - Quindio, convenio: 1481548
numero de apartamento: / 15201 referencia de pago 15201
RETROACTIVO (ENERO, FEBRERO, MARZO 2026): $63.000"
100083,280-20997,100000,"CRA 27 CL 36-57 PI 2, BRR VILLA XIMENA",Casa,False,75.0,4,1,0,3,0,900000,0,0,,2026-03-09,True,,2026-03-09T23:57:47.580361,admin,2026-03-10T03:39:08.953674,admin,,,,,Ahorros,,,,0.00,
10,280-256340,100000,"CR 23E CL 42-15 AP 605, EDF ALAMOS 23",Apartamento,False,54.0,2,2,0,4,134000,1100000,0,0,"EL DINERO LO RECIBE ALGUIEN DIFERENTE A LA PROPIETARIA, ES LA MAMA, DONA YOMAR. 
LA ADMINISTRACION LA PAGA LA PROPIETARIA.",2026-02-09,True,,2026-02-09T22:09:54.811134,admin,2026-05-02T13:20:27.281847,admin,353053,164208,1502225,3001358701,Ahorros,,1,,0.00,"CORREO ADMINISTRACION alamos23admon@gmail.com 
HORARIO ATENCION:
LUNES 4:30 PM A 6:30 PM
MIERCOLES 9:00 AM A 11:00 AM
VIERNES 8:30 AM  A 10:30 AM"
100091,280-105886-12,100000,EDF LA PATRIA APT 202,Apartamento,False,10.0,2,1,,3,,700000,,,,2026-03-17,True,,2026-03-17T19:31:49.276486,admin,2026-03-17T19:38:15.854455,admin,,,,,Ahorros,,,,0.00,
29,280-208355,100000,EDF GRANADA REAL AP 308,Apartamento,False,45.0,2,2,1,3,230000,1000000,0,0,,2026-02-10,True,,2026-02-10T20:22:00.849863,admin,2026-05-14 20:31:05.089667+00,admin,,,,,Ahorros,,10,https://www.psepagos.co/PSEHostingUI/ShowTicketOffice.aspx?ID=1906,0.00," Avanza nit 901027511
NOMBRE DEL ASOCIADO: Norberto callejas"
100034,280-194516,100000,"CR 40 CL 51-41 TO 5 AP 1A, CJT RES CIBELES",Apartamento,False,25.0,1,1,,3,80000,651000,,,,2026-02-25,True,,2026-02-25T03:12:11.585056,admin,2026-05-20T13:21:17.209323,admin,,,,3151243770,Ahorros,,1,https://www.avalpaycenter.com/wps/portal/portal-de-pagos/web/pagos-aval/resultado-busqueda/realizar-pago?idConv=00003999&origin=buscar,,
100089,280-106466,100000,BRR LA PATRIA MZ 42 CS 33,Casa,True,85.0,4,3,,2,,850000,,,,2026-03-10,False,,2026-03-10T12:47:16.592750,admin,2026-04-25T13:15:16.977993,admin,133606,79469,34608,,Ahorros,,1,,,
11,280-256442,100000,"CR 23E CL 42-5 AP 1303, EDF ALAMOS 23",Apartamento,False,62.0,3,2,0,1,0,1100000,0,0,,2026-02-09,True,,2026-02-09T22:14:07.272837,admin,2026-04-30T21:41:50.295612,admin,353218,,,,Ahorros,,1,,0.00,
100090,"280- 105886,",100000,EDIF LA PATRIA AP 302,Apartamento,False,30.0,2,1,0,2,0,650000,0,0,,2026-03-10,True,,2026-03-10T22:40:02.478070,admin,2026-05-13T03:28:48.695921,admin,,,,,Ahorros,,1,,0.00,
100031,280-22968,100000,"CR 24A CL 18-14, BRR SAN JOSE",Casa,False,150.0,4,2,1,3,0,1700000,0,0,,2026-02-24,True,,2026-02-24T01:13:55.674445,admin,2026-05-13 04:04:56.543465+00,admin,,,,,Ahorros,,,,0.00,
